1,9.1....6.26..8....5......2.4.28.61.....74.......31.4..81......96.4..82.3..94..58.
2,485....1..9256...83.6..8...71.2....3.....41.5...13726...1.8.65.....4.....5..2...7
3,..896.2.......2.182.1.87......6.49.....298.3....13...4.8.546...6.7..9.........8.6
4,9...6..31.824...5.....5.9...9.....841.6...5.253.....6...1.8.....2...364.76..4...9
5,.1.38.4...8..6...24....183..2....9...395...8....2.35....2.58..49..6.4....4..326..
6,.1...2....57.6...4.6938......4.9.12.3.......5.28.4.3......7548.9...3.61....8...9.
7,....3.15.8....62..2..89...6..36........42.71.4......255...7..8.3.9...5.1..25.39..
8,36...7....42.....58.5.1......7..3.2.9.3.....4.2.57....1.....2.95..932.8.28.4...7.
9,5...82.6.9....4...72...9...4..7..6..86....1....9.....42..4..5.33..8..426....23.91
10,.6....482187...59...4.....77.1.24......9....18.51.6.4..12.6..3...8..1.....9..7..4
11,9...6.431...4....6.....79.82..5163..1.6.3.....3..2.....51.8..73..9....45..3.4.8.9
12,31....98..56..1.......9...663..2..5.4.......7..275....7..8..4.9.6..4.1.8....6.5..
13,...2....18..4...6..2..1..9527..3.1....81.45....1.2..8798..6..2..6...3..94....2...
14,.2...674.58..9.3...1..526...731.82..9...4...6..85..13...743..8...2.8..67.456...1.
15,...365..88...29.4...3...691....8....24.....36....1....356...2...8.63...41..752...
16,2.8.....9...3968.....8..61.64..23....3.....4....41..56.14..8.....3975...7.....2.5
17,.2..1.59....2.58..8....42.3..9...7..31.....65..7...4..1.45....7..28.1....53.6..4.
18,8..3.916..4..8....9...147.....59....3.8...5.7....28.....147...9....6..4..269.1..5
19,9.32...84..1.4.3...8...5.........5.1.7512894.3.2.........9...5...7.3.1..29...14.7
20,1.23...6.64.....83..876..1..9......23.5....762.6...39.954..7...7..5......23..6.47
21,.5...87....7..12....379..5......58.11249.........72..639.4......128.9......25...9
22,32.....6....2.1.5..75.8....4....3.28.5.8.4.3.13.5....6....3.49..1.6.2....4.....81
23,..3.125.......91......34.86.8...74...3.1.6.9...79...1.87.29......97.......645.3..
24,.....52.....9.78.1.29...56..582......6.8.3.2......417..74...95.1.57.9.....25.....
25,8....29..25.1......6.38..5...4.9.....91...7.5.....136.....75..2.85...6.7.4.81....
26,..8.56.9..3.7....2.19.....318..9.3...6.....2...2.3..168.....13.5....1.4..7.94.8..
27,.2..1.3...5.64.9.7.....3.5....2..8.62..4.6..53.4..8....1.8.....6.8.75.2...7.2..9.
28,...7.3.2.2...8971.....2.5..63.2..1...9.....8...8..5.37..4.9.....1254...9.7.6.1...
29,.7...64282...4.36...45........8....2..82.31..6....9........78...12.5...68361...5.
30,.......81..8...296.4.2..3...85.9.1.....5..72...3.6..458..6.....4.971..........8.4
31,3....5...6....8..7.8294....2.5..493..3..6..7..745..8.2....3918.8..1....4...6....9
32,.48..5.2....8....62769......8..5.37...4.6.29.5.......44..1..56..2....91.1.75..8..
33,.5162...9.....8.4...69..8.2..4..26...7..9..8...97..3..1.8..64...4.2.....3...4917.
34,..2..7.9..3...1.757.1.3.8....7..5....65....14129.....8.7.4....9....1..57.1...9432
35,63.4.8......13.......569......84.3.9......8748.......2.8.67..2..76...5.31..3..76.
36,......35..549..7.68.95....472..8....6...5...8....6..355....28.39.7..354..62......
37,7....31.4.64..1.8..1...7..9......24.8.9...5.3.27......5..9...3..9.1..76.6.24....8
38,26.1....95.4.6..1....4...8..8.5.41.7.........7.23.9.4..1...3....7..5.9.28....6.31
39,9...8.73.2....16...4..5.8..1..2.6.9..5.4...1..7..3...2..8.6..4...37....6.61.2...5
40,...9..57...3..5.81.....2.691...94.5..5...8.1.97....82.43.....9.....6.1.88...23...
41,..2..9.7161.8.3....547...8.......6.2...9.5...1.8.......8...746....4.8.9549.2..8..
42,5..48.97.67.2.1.....3.......3..18..6..1...8..4..95..1.......6.....1.5.89.84.73..2
43,1.6.5..28.4.3.7..92...1...58..9.47.36..2....19.7..8..63...4...27..6.3.9.46..9.8.7
44,483.........4...91.....54.6.5.6..389.6..8..2.218..3.4.9.12.....87...9.........958
45,.61.5.4..74....8......1...76.......891...........791.....785..957.932....8.4..57.
46,......2.9..6.2..3..2.41.5...5..7....76.8..4....3.5..7...4...9..1..74.6.29...36...
47,..96....41....83......5...7..2.7.8...4.9...6...5.132..3...2......71....65....47..
48,.....5..1.8.....63..643..987..5.93..9...1...7..38.2..485..246..61.....8.2..9.....
49,...8.....7.6.5..2.5.9..4..6..15..297..4.6.1..895..73..3..4..5.9.4..1.6.8.....3...
50,.34.....221.695......4.2..9.......8....7..3.13.12.9..5.6..7..9..98....3642...8...
51,.2.....5.....2.1...819.5..73.9.8..14.1.....6.54..6.9.36..3.257...3.1.....7.....3.
52,.7..1.4581.........8.4..3.6...27...3.35...29.8...95...5.8..9.3.........2491.2..7.
53,5....1.786....39....2..4.5..1...2..4.7.8...6.9..5.7.3..4.9..3....81....926.4....7
54,..4.7..8.6..9...5....1....32...4...1.5..8..7.9..6.3..23....2....8...5..4.6..9.2..
55,.5..18.37...26...4..2.......847....129..4..853....694.......8..9...52...43.19..2.
56,9....6....65..1.8.83...2..5.1....37.4.3.5.6.2.27....4.1..2...34.8.4..29....3....6
57,..9...856..8....1..7...82....6.5.3.17..243..85.4.8.9....27...8..1....4..945...6..
58,5...2...4.7..3.8...48.9..37...5.39..1.......6..52.8...75..8.61...3.5..7.8...4...3
59,.613.....2.94...688.4.6..7..2.....1.3..7.6.2.94.5..68..7..95...4...7....5.6....9.
60,.....9..5.....674..6.725....21..78.6.7...8.24...24.5....9.7.......83.6.2...5...8.
61,.9...26.8.....6.1......4.7.94..8.72....4..8......1.9...8.7..1.2..9..8567.....1384
62,6.2.5..9.8...4..7...31.645.7..82.1..59.3...68..49....7.294.76...5..1...3.6..9.7.4
63,6...5..818.....7.979.8.....9.5...27....5.2..3.2....4.51.9.75....6....9.75.7......
64,541.....22...3.64.6934.....7....2..1.526...9...47.9..382.1..4.......63.......4...
65,...71.45.1.4....3.7...548..2..94......7..8.43...576....7.695......43...9.15.87...
66,.37..518.9..4...2...697.5....86.1.4..23.8.79..5...23....9.578...6...9..3.723..95.
67,67..4....8..2...1.4..8.6..7....3.978.489..3..9.7..8....2.3....5..5..4..97.6.....3
68,..92.....2.49.3...5.6..79..1..6...7....3.9.8262.75.....62.......458.2.....159..3.
69,.3...6..18.27.9....1.3..8755..4.........91586.8..5..49....276....3.....4..8....5.
70,....87.9.9.....27.751.3.....871....3..5...7..1....456.....2.189.94.....7.1.75....
71,5..8..3....1.6...9..4..7.26..7.1...4..23.98..6...5.1..39.2..7..1...3.6....5..6..3
72,1..6....8742..1.3.8.6...14.2.......5653..8...97.53...1....5..64....8.7..4.81.3.5.
73,...26739...79.1..5.....56..1.5....8....5....4.8267.....21.53.6..4.8.6...6....283.
74,3....6..7..4..12.517......3.........26.....5.45.....6294.....8.52.1...7983.56....
75,.6.24...55....1.9..19....2.4....2.83..7...9..13.6....7.7....31..5.3....22...76.5.
76,..7.5..8...93.....85..24.31.8....9..9..8.1..4..4....1.59.63..47.....26...3..7.2..
77,536......8...572.3..4..6....7..3.1.6...174...3.1.2..8....5..3..1.284...9......618
78,..8.4.57.9..6...2..319.2.4.6.51..8....743.9....25..1.4.8.7.521..5...3..6.23.6.7..
79,9....7...85.3....97...9.6..47...61.2.2.....9.3.69...57..8.7...52....4.18...5....4
80,976..5...2.....9.4.....9.6.....92.5.7.46.31.2.9.18.....5.3.....6.8.....3...5..648
81,.32..4..8..5..7...7.4..1.5.45.7..63....4.529...6....4..4..9.12.96.8.....52.......
82,.6...9.31..28..7....4..59..8...3...61...4...57...21..9..57..8....1..65..48.1...9.
83,.7...6.5.....19.63.6.5...2.4.7.....1..19745..2.....6.7.4...7.1.58.43.....1.8...9.
84,.2.6...4...89..5.7..3..1..84...739...6...2.1...5.8...39..2..4..8.1..97...7...5.3.
85,.8...27.1.......3..61.37..44.2.....97..316..28.....5.33..18.29..4.......1.97...8.
86,.........3.8.6....596.12.4.6.95.78.....349.....56.19.3.8.17.592....9.1.8.........
87,3.....69....6...38.9..13..5..59.231.....6.....628.75..2..35..6.51...8....39.....1
88,..8.4.3..2..6....9....7.5..1...8.4....3..57....9.21..6..5.3....6....9..4..1.6.9..
89,....7543.93.1.......8....5..89.....1..7....4.1..2.3......5127..5..738..4...64...5
90,5...4....3.8.96.1..178....62.....6...4.2.1.3...9.....19....384..8.96.7.3....2...9
91,..58...6.9...7.3..2....4.17..85....24....1..93..6.97..17.2....6..9.5...1.6...84..
92,58..74....1...9.8.9..28.4..4.7....6.3...2...7.2....5.4..8.16..5.3.7...9....95..76
93,.....5..4.2.3..6.9.4.1.9....7.2..3.8.517......6.548...41.......58.4...2..369..8.5
94,....1659.214..83.6...7.....92.6....5.........5....9.67.....7...3.91..842.6149....
95,.9.7...85.....6....5...9..7.48.725.6..5...7.3.......9.572....6...619.4..41....3.8
96,1....4.6.6.5.87......63.9.2..9....31...465...27....8..8.7.93......84.5.3.2.1....9
